,Date,countyFIPS,StateFIPS,Cases,Death,Population,new_cases,new_deaths,Normalized cases,Normalized deaths,Log normalized cases,Log normalized deaths
404,2021-03-02,95465426,95140,28122800,506240,328239523,54280.0,1941.0,717.2393840057379,23.950743019046357,122.68406839308949,2.61673044265474
405,2021-03-03,95465426,95140,28189959,508912,328239523,67159.0,2672.0,1151.076430073261,38.28737646983234,145.21181137740064,6.318455844100343
406,2021-03-04,95465426,95140,28253381,510769,328239523,63422.0,1857.0,902.8819230844655,19.66917677602412,138.6849244602366,0.6879224083429478
407,2021-03-05,95465426,95140,28317624,512407,328239523,64243.0,1638.0,907.9740821318255,19.973348265778615,139.96697642518137,0.46557350843774553
408,2021-03-06,95465426,95140,28370458,513809,328239523,52834.0,1402.0,693.1220297039066,14.508262111133426,108.53913113169583,0.32667583296770714
409,2021-03-07,95465426,95140,28411039,514509,328239523,40581.0,700.0,562.2257175064835,7.810862275593399,94.24338648333256,0.0
410,2021-03-08,95465426,95140,28454643,515298,328239523,43604.0,789.0,723.2108101176404,11.931656911884778,119.34085351933707,0.37103494933213327
411,2021-03-09,95465426,95140,28507950,517577,328239523,53307.0,2279.0,768.7361902668108,29.23565548534388,125.48555060204245,4.770754027734959
412,2021-03-10,95465426,95140,28564094,519162,328239523,56144.0,1585.0,1017.0428002096814,23.02664110106369,136.95882800943218,1.5581883096407396
413,2021-03-11,95465426,95140,28619974,520634,328239523,55880.0,1472.0,890.1932295611604,17.1996201621028,130.7674219074116,0.09651395961215065
414,2021-03-12,95465426,95140,28675668,522211,328239523,55694.0,1577.0,887.3477099538434,26.000295006460433,133.54725290394128,2.2760488677650597
415,2021-03-13,95465426,95140,28731277,523606,328239523,55609.0,1395.0,632.796851842638,11.447005834570513,92.41477478901034,1.1428437260339337
416,2021-03-14,95465426,95140,28763673,524011,328239523,32396.0,405.0,416.93797746829114,4.4084442318481285,75.6490956282541,0.0
417,2021-03-15,95465426,95140,28821747,524757,328239523,58074.0,746.0,1059.328471428367,10.70310755494294,131.70034116598612,0.5490748814845218
418,2021-03-16,95465426,95140,28876125,526016,328239523,54378.0,1259.0,774.1896781731978,17.66681986963339,125.33078835486954,1.3906563390631832
419,2021-03-17,95465426,95140,28932887,527202,328239523,56762.0,1186.0,1025.42278738925,16.51505530188378,130.90005413458755,1.02705948883707
420,2021-03-18,95465426,95140,28987631,528834,328239523,54744.0,1632.0,829.2765265250383,24.173877083048076,127.66934334805639,2.305340448000618
421,2021-03-19,95465426,95140,29043183,530176,328239523,55552.0,1342.0,822.648785542652,19.498465528541157,124.29701097930116,2.7099378739179834
422,2021-03-20,95465426,95140,29088835,530768,328239523,45652.0,592.0,561.6675761826191,7.23913271624374,86.25759300899232,0.0
423,2021-03-21,95465426,95140,29125635,531740,328239523,36800.0,972.0,482.4779257939091,8.041762815131516,80.2049139926055,0.07758885315715033
424,2021-03-22,95465426,95140,29171636,532232,328239523,46001.0,492.0,822.38716126865,7.452592805707743,111.10609673651052,0.3114210797589442
425,2021-03-23,95465426,95140,29224399,533253,328239523,52763.0,1021.0,821.3188711764128,13.564449598042742,118.75295717988027,0.44907045845904703
426,2021-03-24,95465426,95140,29322567,534540,328239523,98168.0,1287.0,1578.247771621402,20.485919359937512,144.23004193145132,1.4906080775838044
427,2021-03-25,95465426,95140,29383404,535722,328239523,60837.0,1182.0,896.7477582224548,14.063573085720332,126.08298691547137,0.8733760500475392
428,2021-03-26,95465426,95140,29454497,536889,328239523,71093.0,1167.0,1098.6832359214907,12.67125299644247,136.7478213013114,0.0
